id,lemma
1257,предугадывать
1258,предугадать
1259,чувствовать
1260,почувствовать
1261,предощущать
1262,предощутить
1263,чувствовать
1264,почувствовать
1265,ведать
1266,изведать
1267,испытывать
1268,испытать
1269,осязать
1270,ощущать
1271,ощутить
1272,прочувствовать
1273,исполняться
1274,исполниться
1275,преисполняться
1276,преисполниться
1277,проникаться
1278,проникнуться
1279,переживать
1280,пережить
1281,чуять
1282,почуять
1283,чувствовать
1284,почувствовать
1285,ощущать
1286,ощутить
1287,растрогать
1288,умилять
1289,умилить
1290,пронимать
1291,пронять
1292,растрогаться
1293,умиляться
1294,умилиться
1295,разнежиться
1296,растаять
1297,расчувствоваться
1298,обмякнуть
1299,размякнуть
1300,благоденствовать
1301,преуспевать
1302,процветать
1303,наслаждаться
1304,насладиться
1305,блаженствовать
1306,нежиться
1307,вкушать
1308,вкусить
1309,упиваться
1310,упиться
1311,услаждаться
1312,усладиться
1313,благодушествовать
1314,кайфовать
1315,кайфануть
1316,кейфовать
1317,кейфануть
1318,смаковать
1319,посчастливиться
1320,везти
1321,повезтии подвезти
1322,бедствовать
1323,нуждаться
1324,перебиваться
1325,перекручиваться
1326,горевать
1327,печалиться
1328,опечалиться
1329,скорбеть
1330,сокрушаться
1331,кручиниться
1332,тужить
1333,убиваться
1334,обременять
1335,обременить
1336,отягощать
1337,отяготить
1338,отягчать
1339,отягчить
1340,тяготить
1341,огорчать
1342,огорчить
1343,печалить
1344,опечалить
1345,расстраивать
1346,расстроить
1347,сокрушать
1348,сокрушить
1349,убивать
1350,убить
1351,удручать
1352,удручить
1353,разогорчить
1354,огорчаться
1355,огорчиться
1356,печалиться
1357,опечалиться
1358,расстраиваться
1359,расстроиться
1360,разогорчиться
1361,бередить
1362,разбередить
1363,растравлять
1364,растравить
1365,измучивать мучить
1366,измучить
1367,измучать
1368,затерзать
1369,изводить
1370,извести
1371,истерзать
1372,истязать
1373,казнить
1374,пытать
1375,терзать
1376,тиранить
1377,дёргать
1378,задёргать
1379,затиранить
1380,издёргивать
1381,издёргать
1382,тиранствовать
1383,измучиваться и мучиться
1384,измучиться
1385,измучаться
1386,казниться
1387,помучиться
1388,страдать
1389,исстрадаться
1390,терзаться
1391,истерзаться
1392,томиться
1393,истомиться
1394,изводиться
1395,известись
1396,маяться
1397,измаяться
1398,намучиться
1399,испытывать
1400,испытать
1401,выстрадать
1402,вытерпеть
1403,изведать
1404,переживать
1405,пережить
1406,переносить
1407,перенести
1408,перестрадать
1409,перетерпеть
1410,подвергаться
1411,подвергнуться
1412,терпеть
1413,вкушать
1414,вкусить
1415,познавать
1416,познать
1417,претерпевать
1418,претерпеть
1419,глотнуть
1420,испробовать
1421,набраться
1422,навидаться
1423,намыкаться
1424,натерпеться
1425,отведывать
1426,отведать
1427,перевидать
1428,понюхать
1429,пробовать
1430,попробовать
1431,увидать
1432,увидеть
1433,хватить
1434,хлебнуть
1435,исстрадаться
1436,изнывать
1437,изныть
1438,поразить
1439,ослепить
1440,потрясать
1441,потрясти
1442,сражать
1443,сразить
1444,убивать
1445,убить
1446,ударять
1447,ударить
1448,оглушить
1449,огорошить
1450,перевернуть
1451,страдать
1452,сохнуть
1453,утомлять
1454,утомить
1455,изнурять
1456,изнурить
1457,переутомлять
1458,переутомить
1459,выматывать
1460,вымотать
1461,изматывать
1462,измотать
1463,измочаливать
1464,измочалить
1465,уморить
1466,умучить
1467,веселеть
1468,повеселеть
1469,оживляться
1470,оживиться
1471,веселить
1472,развеселить
1473,взвеселить
1474,забавлять
1475,потешать
1476,развлекать
1477,развлечь
1478,веселиться
1479,развеселиться
1480,взвеселиться
1481,возвеселиться
1482,взыграть
1483,ободрять
1484,ободрить
1485,бодрить
1486,подбадривать
1487,подбодрить
1488,подбодрять
1489,подбодрить
1490,поощрять
1491,поощрить
1492,приободрять
1493,приободрить
1494,взбадривать
1495,взбодрить
1496,ободряться
1497,ободриться
1498,воспрянуть
1499,всколыхнуться
1500,вспрянуть
1501,оживать
1502,ожить
1503,подбодриться
1504,приободряться
1505,приободриться
1506,пробудиться
1507,взбодриться
1508,встряхиваться
1509,встряхнуться
1510,оживлять
1511,оживить
1512,активизировать
1513,встряхивать
1514,встряхнуть
1515,живить
1516,расшевеливать
1517,расшевелить
1518,оживляться
1519,оживиться
1520,активизироваться
1521,зашевелиться
1522,подзадоривать
1523,подзадорить
1524,раззадоривать
1525,раззадорить
1526,радовать
1527,обрадовать
1528,веселить
1529,ласкать
1530,лелеять
1531,нежить
1532,порадовать
1533,услаждать
1534,разутешить
1535,тешить
1536,утешить
1537,утешать
1538,утешить
1539,радоваться
1540,обрадоваться
1541,возрадоватьс
1542,развлекать
1543,развлечь
1544,веселить
1545,повеселить
1546,забавлять
1547,позабавить
1548,занимать
1549,занять
1550,потешать
1551,потешить
1552,увеселять
1553,забавить
1554,распотешить
1555,тешить
1556,развлекаться
1557,развлечься
1558,веселиться
1559,повеселиться
1560,встряхнуться
1561,увеселяться
1562,гулять
1563,погудеть
1564,погулять
1565,пожить
1566,восторгаться
1567,восхищаться
1568,упиваться
1569,вдохновлять
1570,вдохновить
1571,воодушевлять
1572,воодушевить
1573,воспламенять
1574,воспламенить
1575,зажигать
1576,зажечь
1577,окрылять
1578,окрылить
1579,озарять
1580,озарить
1581,вдохновляться
1582,вдохновиться
1583,воодушевляться
1584,воодушевиться
1585,воспламеняться
1586,воспламениться
1587,загораться
1588,загореться
1589,зажигаться
1590,зажечься
